city,variable,indicator_name,dimension,combined_weight,standardized_value,deviation_degree,weighted_deviation,obstacle_degree,obstacle_rank_in_city
淮安市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.017087393,0.982912607,0.071960562,0.10061288,2
淮安市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.45625,0.54375,0.039450572,0.055158486,10
淮安市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.304683728,0.695316272,0.041462347,0.057971283,8
淮安市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.036868444,0.963131556,0.074224276,0.10377793,1
淮安市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.512801224,0.487198776,0.027630887,0.038632592,13
淮安市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.747417355,0.252582645,0.016020829,0.022399794,16
淮安市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.265614276,0.734385724,0.057595808,0.080528555,6
淮安市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.259407839,0.740592161,0.04037519,0.056451256,9
盐城市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.375881206,0.624118794,0.031976049,0.051738704,10
盐城市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.12113585,0.87886415,0.059264588,0.095892802,1
盐城市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.197518183,0.802481817,0.038661479,0.062556033,8
盐城市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0.289805981,0.710194019,0.030531066,0.049400655,11
盐城市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0.584000745,0.415999255,0.024888339,0.040270466,15
盐城市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0.550618882,0.449381118,0.026275257,0.042514563,13
盐城市,gdp_亿元,GDP,产业承载能力,0.064780719,0.293090663,0.706909337,0.045794095,0.074096932,6
盐城市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.20663914,0.79336086,0.056757071,0.091835527,4
盐城市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.215424318,0.784575682,0.057440007,0.092940548,3
盐城市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.45,0.55,0.039904027,0.064566534,7
盐城市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.212940608,0.787059392,0.046933073,0.075939851,5
盐城市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.604121338,0.395878662,0.030508612,0.049364324,12
盐城市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.791259961,0.208740039,0.011838438,0.019155131,16
盐城市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.592458678,0.407541322,0.025849559,0.041825764,14
盐城市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.248455731,0.751544269,0.058941504,0.095370039,2
盐城市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.404476705,0.595523295,0.032466406,0.052532124,9
扬州市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.359807209,0.640192791,0.032799583,0.053033277,12
扬州市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.197418522,0.802581478,0.054120606,0.087507,3
扬州市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.291293861,0.708706139,0.034143611,0.055206422,11
扬州市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0.336935299,0.663064701,0.028504988,0.046089395,13
扬州市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0.78627391,0.21372609,0.012786771,0.020674787,15
扬州市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0.762991691,0.237008309,0.013857846,0.022406596,14
扬州市,gdp_亿元,GDP,产业承载能力,0.064780719,0.295327368,0.704672632,0.0456492,0.073809679,7
扬州市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.368161989,0.631838011,0.04520172,0.073086153,8
扬州市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.321763999,0.678236001,0.049654714,0.080286149,5
扬州市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.95625,0.04375,0.003174184,0.005132302,16
扬州市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.135683245,0.864316755,0.051540001,0.083334448,4
扬州市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.293815578,0.706184422,0.054422501,0.08799513,2
扬州市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.384851047,0.615148953,0.034887425,0.056409086,10
扬州市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.327479339,0.672520661,0.042656687,0.068971118,9
扬州市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.124914207,0.875085793,0.068630519,0.110967915,1
扬州市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.148137228,0.851862772,0.046441379,0.075090544,6
镇江市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.443220371,0.556779629,0.028526,0.041878693,12
镇江市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.437173282,0.562826718,0.037953185,0.055718634,9
镇江市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.247016293,0.752983707,0.036276789,0.053257537,10
镇江市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0.386632179,0.613367821,0.026368531,0.038711338,13
镇江市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0.806836619,0.193163381,0.011556549,0.016966037,15
镇江市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0.788104909,0.211895091,0.012389479,0.018188852,14
镇江市,gdp_亿元,GDP,产业承载能力,0.064780719,0.098679372,0.901320628,0.058388199,0.085719044,5
镇江市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.557491777,0.442508223,0.031657058,0.046475363,11
镇江市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.122310468,0.877689532,0.064257017,0.094334989,3
镇江市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.9,0.1,0.007255278,0.01065139,16
镇江市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0.24191212,0.75808788,0.045205476,0.066365639,8
镇江市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0,1,0.077065564,0.113139069,1
镇江市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0,1,0.056713785,0.083260856,6
镇江市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0,1,0.063428069,0.093118019,4
镇江市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.112560055,0.887439945,0.06959942,0.10217811,2
镇江市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0,1,0.054517441,0.08003643,7
泰州市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.392061226,0.607938774,0.031147083,0.04540759,13
泰州市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.122103904,0.877896096,0.059199309,0.086303359,2
